matrix,alg,bw_mbps,rtt_ms,loss_pct,loss_corr,buffer_pkts,bdp_multiplier,video_throughput_mbps,video_jitter_mbps,video_rebuf_ratio,web_avg_ttfb_s,web_plt_s,large_throughput_mbps,large_fct_s
Loss_0.001%,bbr,100,50,0.001,0,2083,5.0,62.53665427399731,9.817016935296959,0.0,0.1016991,1.018125,0.012750007378476492,0.101647
Loss_1.0%,bbr,100,50,1.0,0,2083,5.0,60.76069976982641,13.645211944494237,0.0,0.1019379,1.020659,0.012558991404455728,0.103193
Loss_2.0%,bbr,100,50,2.0,0,2083,5.0,59.02922717287043,16.430392319603936,0.0,0.1017551,1.018677,0.012699905926622766,0.102048
Loss_Bursty_2%,bbr,100,50,2.0,25,2083,5.0,62.061978525004776,9.839880013945583,0.0,0.1018744,1.0198730000000003,0.012756784424123709,0.101593
Loss_None,bbr,100,50,0,0,4166,10.0,62.69386351062522,9.843417342595048,0.0,0.1016508,1.017594,0.01276595744680851,0.10152
Loss_0.001%,bbr,100,50,0.001,0,4166,10.0,62.65848004498105,9.824801733401166,0.0,0.1018284,1.0197479999999999,0.012698288278578497,0.102061
Loss_1.0%,bbr,100,50,1.0,0,4166,10.0,60.84831010942446,13.690809062281929,0.0,0.1015246,1.0162849999999999,0.012685237750327897,0.102166
Loss_2.0%,bbr,100,50,2.0,0,4166,10.0,62.725114291549346,9.832156445582957,0.0,0.2031981,2.0331550000000003,0.012750132813883479,0.101646
Loss_Bursty_2%,bbr,100,50,2.0,25,4166,10.0,62.53815603233566,9.799572181436728,0.0,0.1014984,1.015996,0.012660948398819875,0.102362
Bandwidth,cubic,10,50,0,0,416,1.0,62.5203506127948,9.800048023476185,0.0,0.1018227,1.0196219999999998,0.012727219161535516,0.101829
Bandwidth,cubic,100,50,0,0,416,1.0,62.64832971142874,9.819647075129584,0.0,0.1014651,1.015568,0.012768850310846626,0.101497
Bandwidth,cubic,1000,50,0,0,416,1.0,62.706032966415535,9.833106966066964,0.0,0.1018382,1.0196310000000002,0.012719100241427366,0.101894
Bandwidth,cubic,10,50,0,0,833,2.0,62.72622325370601,9.839109966295934,0.0,0.1017523,1.018723,0.012721722144238414,0.101873
Bandwidth,cubic,100,50,0,0,833,2.0,62.718904766494106,9.831345732724456,0.0,0.1016584,1.0178479999999999,0.01276294020326164,0.101544
Bandwidth,cubic,1000,50,0,0,833,2.0,62.69107486958437,9.82797388020381,0.0,0.101705,1.0180890000000002,0.012752014641201995,0.101631
Bandwidth,cubic,10,50,0,0,2083,5.0,62.40865149787858,9.779292989011577,0.0,0.1017313,1.0185110000000002,0.012718476138136783,0.101899
Bandwidth,cubic,100,50,0,0,2083,5.0,62.673285812373365,9.823667778139042,0.0,0.1017504,1.018889,0.01271822651396944,0.101901
Bandwidth,cubic,1000,50,0,0,2083,5.0,62.562143970490354,9.80954820480177,0.0,0.1018252,1.019435,0.012719599568161743,0.10189
Bandwidth,cubic,10,50,0,0,4166,10.0,62.26962901437496,9.94648586352676,0.0,0.1018601,1.019894,0.012665897851879361,0.102322
Bandwidth,cubic,100,50,0,0,4166,10.0,62.66975950106198,9.828302036845297,0.0,0.1014997,1.015916,0.012757914632225547,0.101584
Bandwidth,cubic,1000,50,0,0,4166,10.0,62.64493920671824,9.819269835032328,0.0,0.1016041,1.0171169999999998,0.012764825813314423,0.101529
Bandwidth,bbr,10,50,0,0,416,1.0,62.69662563102449,9.831236795401146,0.0,0.1015444,1.0164179999999998,0.012774891817563505,0.101449
Bandwidth,bbr,100,50,0,0,416,1.0,62.6360654892484,9.823967046430953,0.0,0.1019177,1.0204719999999998,0.012704387719091872,0.102012
Bandwidth,bbr,1000,50,0,0,416,1.0,62.66676254635952,9.822914474232523,0.0,0.10172819999999999,1.018414,0.01272921925490851,0.101813
Bandwidth,bbr,10,50,0,0,833,2.0,62.719350321746745,9.832332944781625,0.0,0.101717,1.0183200000000001,0.012690081956779304,0.102127
Bandwidth,bbr,100,50,0,0,833,2.0,62.60887951262714,9.811114490766043,0.0,0.1018682,1.019904,0.012722471457881355,0.101867
Bandwidth,bbr,1000,50,0,0,833,2.0,62.7308972165433,9.844318419045514,0.0,0.1016653,1.0177859999999999,0.012724095273626956,0.101854
Bandwidth,bbr,10,50,0,0,2083,5.0,62.64431234011793,9.8225146378303,0.0,0.1017041,1.018304,0.012724345128225269,0.101852
Bandwidth,bbr,100,50,0,0,2083,5.0,62.628899204913715,9.815544830502237,0.0,0.1017507,1.018929,0.012713111377057542,0.101942
Bandwidth,bbr,1000,50,0,0,2083,5.0,62.4453476908829,9.820105715786212,0.0,0.1016693,1.017676,0.012758291412764198,0.101581
